date,year,month,quarter,month_name,month_year,semester
2019-01-01,2019,1,1,Jan,Jan 2019,H1
2019-02-01,2019,2,1,Feb,Feb 2019,H1
2019-03-01,2019,3,1,Mar,Mar 2019,H1
2019-04-01,2019,4,2,Apr,Apr 2019,H1
2019-05-01,2019,5,2,May,May 2019,H1
2019-06-01,2019,6,2,Jun,Jun 2019,H1
2019-07-01,2019,7,3,Jul,Jul 2019,H2
2019-08-01,2019,8,3,Aug,Aug 2019,H2
2019-09-01,2019,9,3,Sep,Sep 2019,H2
2019-10-01,2019,10,4,Oct,Oct 2019,H2
2019-11-01,2019,11,4,Nov,Nov 2019,H2
2019-12-01,2019,12,4,Dec,Dec 2019,H2
2020-01-01,2020,1,1,Jan,Jan 2020,H1
2020-02-01,2020,2,1,Feb,Feb 2020,H1
2020-03-01,2020,3,1,Mar,Mar 2020,H1
2020-04-01,2020,4,2,Apr,Apr 2020,H1
2020-05-01,2020,5,2,May,May 2020,H1
2020-06-01,2020,6,2,Jun,Jun 2020,H1
2020-07-01,2020,7,3,Jul,Jul 2020,H2
2020-08-01,2020,8,3,Aug,Aug 2020,H2
2020-09-01,2020,9,3,Sep,Sep 2020,H2
2020-10-01,2020,10,4,Oct,Oct 2020,H2
2020-11-01,2020,11,4,Nov,Nov 2020,H2
2020-12-01,2020,12,4,Dec,Dec 2020,H2
2021-01-01,2021,1,1,Jan,Jan 2021,H1
2021-02-01,2021,2,1,Feb,Feb 2021,H1
2021-03-01,2021,3,1,Mar,Mar 2021,H1
2021-04-01,2021,4,2,Apr,Apr 2021,H1
2021-05-01,2021,5,2,May,May 2021,H1
2021-06-01,2021,6,2,Jun,Jun 2021,H1
2021-07-01,2021,7,3,Jul,Jul 2021,H2
2021-08-01,2021,8,3,Aug,Aug 2021,H2
2021-09-01,2021,9,3,Sep,Sep 2021,H2
2021-10-01,2021,10,4,Oct,Oct 2021,H2
2021-11-01,2021,11,4,Nov,Nov 2021,H2
2021-12-01,2021,12,4,Dec,Dec 2021,H2
2022-01-01,2022,1,1,Jan,Jan 2022,H1
2022-02-01,2022,2,1,Feb,Feb 2022,H1
2022-03-01,2022,3,1,Mar,Mar 2022,H1
2022-04-01,2022,4,2,Apr,Apr 2022,H1
2022-05-01,2022,5,2,May,May 2022,H1
2022-06-01,2022,6,2,Jun,Jun 2022,H1
2022-07-01,2022,7,3,Jul,Jul 2022,H2
2022-08-01,2022,8,3,Aug,Aug 2022,H2
2022-09-01,2022,9,3,Sep,Sep 2022,H2
2022-10-01,2022,10,4,Oct,Oct 2022,H2
2022-11-01,2022,11,4,Nov,Nov 2022,H2
2022-12-01,2022,12,4,Dec,Dec 2022,H2
2023-01-01,2023,1,1,Jan,Jan 2023,H1
2023-02-01,2023,2,1,Feb,Feb 2023,H1
2023-03-01,2023,3,1,Mar,Mar 2023,H1
2023-04-01,2023,4,2,Apr,Apr 2023,H1
2023-05-01,2023,5,2,May,May 2023,H1
2023-06-01,2023,6,2,Jun,Jun 2023,H1
2023-07-01,2023,7,3,Jul,Jul 2023,H2
2023-08-01,2023,8,3,Aug,Aug 2023,H2
2023-09-01,2023,9,3,Sep,Sep 2023,H2
2023-10-01,2023,10,4,Oct,Oct 2023,H2
2023-11-01,2023,11,4,Nov,Nov 2023,H2
2023-12-01,2023,12,4,Dec,Dec 2023,H2
